current_qualified,target_schema,proposed_target_name,owning_product,classification,primary_key_type,creating_migration,migration_complexity,v4_risk,v5_risk,may_discard,source_repo,note
"public.church_event_visitor_follow_ups","blessboard","event_visitor_follow_ups","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_event_volunteer_needs","blessboard","event_volunteer_needs","blessboard","product-specific","unknown","118_church_growth_advanced_events.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_events","blessboard","events","blessboard","product-specific","integer_identity","055_church_member_portal.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_feed_item_reads","blessboard","feed_item_reads","blessboard","product-specific","unknown","091_church_broadcast_announcement_enhancements.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_giving_settings","blessboard","giving_settings","blessboard","product-specific","integer_identity","059_church_giving_settings.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_giving_summaries","blessboard","giving_summaries","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_group_attendance","blessboard","group_attendance","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_group_join_requests","blessboard","group_join_requests","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_group_leaders","blessboard","group_leaders","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_group_meetings","blessboard","group_meetings","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_group_memberships","blessboard","group_memberships","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_group_notes","blessboard","group_notes","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_groups","blessboard","groups","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_admin_password_reset_requests","blessboard","hq_admin_password_reset_requests","blessboard","product-specific","unknown","084_church_hq_admin_password_reset_requests.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_hq_admins","blessboard","hq_admins","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_attachments","blessboard","hq_broadcast_attachments","blessboard","product-specific","unknown","091_church_broadcast_announcement_enhancements.sql","high","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_deliveries","blessboard","hq_broadcast_deliveries","blessboard","product-specific","unknown","101_church_scheduled_broadcasts.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_department_targets","blessboard","hq_broadcast_department_targets","blessboard","product-specific","unknown","101_church_scheduled_broadcasts.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_event_targets","blessboard","hq_broadcast_event_targets","blessboard","product-specific","unknown","101_church_scheduled_broadcasts.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_ministry_targets","blessboard","hq_broadcast_ministry_targets","blessboard","product-specific","unknown","101_church_scheduled_broadcasts.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_selected_recipients","blessboard","hq_broadcast_selected_recipients","blessboard","product-specific","unknown","101_church_scheduled_broadcasts.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_targets","blessboard","hq_broadcast_targets","blessboard","product-specific","unknown","068_church_hq_broadcasts.sql","high","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcast_test_deliveries","blessboard","hq_broadcast_test_deliveries","blessboard","product-specific","unknown","120_church_growth_communication_controls.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_hq_broadcasts","blessboard","hq_broadcasts","blessboard","product-specific","unknown","068_church_hq_broadcasts.sql","high","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_login_attempts","blessboard","login_attempts","blessboard","product-specific","unknown","081_church_login_attempt_protection.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_member_attendance_exemptions","blessboard","member_attendance_exemptions","blessboard","product-specific","unknown","114_church_growth_advanced_attendance.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_attendance_qr_tokens","blessboard","member_attendance_qr_tokens","blessboard","product-specific","unknown","112_church_foundation_attendance_check_ins.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_branch_history","blessboard","member_branch_history","blessboard","product-specific","unknown","096_church_member_branch_history.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_discipleship","blessboard","member_discipleship","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_import_batches","blessboard","member_import_batches","blessboard","product-specific","unknown","104_church_member_import_batches.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_import_rows","blessboard","member_import_rows","blessboard","product-specific","unknown","104_church_member_import_batches.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_member_ministries","blessboard","member_ministries","blessboard","product-specific","integer_identity","060_church_ministries_departments.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_member_password_reset_requests","blessboard","member_password_reset_requests","blessboard","product-specific","unknown","082_church_member_password_reset_requests.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_member_requests","blessboard","member_requests","blessboard","product-specific","integer_identity","055_church_member_portal.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_members","blessboard","members","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_ministries","blessboard","ministries","blessboard","product-specific","integer_identity","060_church_ministries_departments.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_ministry_activity_notes","blessboard","ministry_activity_notes","blessboard","product-specific","integer_identity","062_church_ministry_leaders.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_ministry_join_requests","blessboard","ministry_join_requests","blessboard","product-specific","integer_identity","065_church_ministry_join_requests.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_ministry_leader_password_reset_requests","blessboard","ministry_leader_password_reset_requests","blessboard","product-specific","unknown","088_church_ministry_leader_password_reset_requests.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_ministry_leaders","blessboard","ministry_leaders","blessboard","product-specific","integer_identity","062_church_ministry_leaders.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_monthly_reports","blessboard","monthly_reports","blessboard","product-specific","integer_identity","049_church_core.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_notification_templates","blessboard","notification_templates","blessboard","product-specific","unknown","105_church_notification_templates.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_notification_test_deliveries","blessboard","notification_test_deliveries","blessboard","product-specific","unknown","105_church_notification_templates.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_account_managers","blessboard","organization_account_managers","blessboard","product-specific","unknown","126_church_platform_support_access.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_communication_policies","blessboard","organization_communication_policies","blessboard","product-specific","integer","120_church_growth_communication_controls.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_inactivity_warnings","blessboard","organization_inactivity_warnings","blessboard","product-specific","unknown","103_church_organization_dormancy.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_package_history","blessboard","organization_package_history","blessboard","product-specific","unknown","098_church_growth_billing.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_package_trial_reminders","blessboard","organization_package_trial_reminders","blessboard","product-specific","unknown","099_church_growth_trials.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_package_trials","blessboard","organization_package_trials","blessboard","product-specific","unknown","099_church_growth_trials.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organization_usage_months","blessboard","organization_usage_months","blessboard","product-specific","composite_or_named","097_church_package_usage.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_organizations","platform","organizations","blessboard","shared","integer_identity","049_church_core.sql","critical","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro","lift to platform.organizations + blessboard profile"
"public.church_password_reset_rate_limits","blessboard","password_reset_rate_limits","blessboard","product-specific","unknown","085_church_password_reset_rate_limits.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_attachments","blessboard","pastoral_attachments","blessboard","product-specific","unknown","113_church_foundation_pastoral_care.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_automation_runs","blessboard","pastoral_automation_runs","blessboard","product-specific","unknown","115_church_growth_pastoral_automation.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_automation_settings","blessboard","pastoral_automation_settings","blessboard","product-specific","unknown","115_church_growth_pastoral_automation.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_automation_work_items","blessboard","pastoral_automation_work_items","blessboard","product-specific","unknown","115_church_growth_pastoral_automation.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_case_follow_ups","blessboard","pastoral_case_follow_ups","blessboard","product-specific","unknown","113_church_foundation_pastoral_care.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pastoral_cases","blessboard","pastoral_cases","blessboard","product-specific","unknown","113_church_foundation_pastoral_care.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pilot_feature_flag_audit","blessboard","pilot_feature_flag_audit","blessboard","product-specific","unknown","110_church_pilot_feature_flags.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pilot_feature_flag_platform_defaults","blessboard","pilot_feature_flag_platform_defaults","blessboard","product-specific","unknown","110_church_pilot_feature_flags.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pilot_feature_flag_tenant_overrides","blessboard","pilot_feature_flag_tenant_overrides","blessboard","product-specific","unknown","110_church_pilot_feature_flags.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pilot_readiness_approvals","blessboard","pilot_readiness_approvals","blessboard","product-specific","unknown","106_church_pilot_readiness.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_pilot_readiness_item_notes","blessboard","pilot_readiness_item_notes","blessboard","product-specific","unknown","106_church_pilot_readiness.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_platform_inquiries","blessboard","platform_inquiries","blessboard","product-specific","integer_identity","094_church_platform_inquiries.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_platform_support_access","blessboard","platform_support_access","blessboard","product-specific","unknown","126_church_platform_support_access.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_platform_support_access_events","blessboard","platform_support_access_events","blessboard","product-specific","unknown","126_church_platform_support_access.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_platform_support_notes","blessboard","platform_support_notes","blessboard","product-specific","unknown","077_church_platform_support_notes.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_prayer_requests","blessboard","prayer_requests","blessboard","product-specific","integer_identity","055_church_member_portal.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_public_contact_submissions","blessboard","public_contact_submissions","blessboard","product-specific","integer_identity","090_church_operational_readiness.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_release_records","blessboard","release_records","blessboard","product-specific","unknown","109_church_release_register.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_resources","blessboard","resources","blessboard","product-specific","integer_identity","089_church_sermons_resources.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_safeguarding_incidents","blessboard","safeguarding_incidents","blessboard","product-specific","unknown","113_church_foundation_pastoral_care.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_saved_report_filters","blessboard","saved_report_filters","blessboard","product-specific","unknown","119_church_growth_advanced_reporting.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_scheduled_report_deliveries","blessboard","scheduled_report_deliveries","blessboard","product-specific","unknown","100_church_scheduled_reports.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_scheduled_report_recipients","blessboard","scheduled_report_recipients","blessboard","product-specific","unknown","100_church_scheduled_reports.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_scheduled_report_runs","blessboard","scheduled_report_runs","blessboard","product-specific","unknown","100_church_scheduled_reports.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_scheduled_reports","blessboard","scheduled_reports","blessboard","product-specific","unknown","100_church_scheduled_reports.sql","high","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_sermons","blessboard","sermons","blessboard","product-specific","integer_identity","089_church_sermons_resources.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.church_survey_answers","blessboard","survey_answers","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_survey_questions","blessboard","survey_questions","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_survey_response_sessions","blessboard","survey_response_sessions","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_surveys","blessboard","surveys","blessboard","product-specific","unknown","116_church_growth_appointments_surveys.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_assignments","blessboard","volunteer_assignments","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_availability","blessboard","volunteer_availability","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_member_skills","blessboard","volunteer_member_skills","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_role_skills","blessboard","volunteer_role_skills","blessboard","product-specific","composite_or_named","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_roles","blessboard","volunteer_roles","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_shifts","blessboard","volunteer_shifts","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.church_volunteer_skills","blessboard","volunteer_skills","blessboard","product-specific","unknown","117_church_growth_groups_discipleship_volunteers.sql","medium","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.companies","getpro","companies","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.company_personnel_users","getpro","company_personnel_users","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.company_portal_credit_accounts","getpro","company_portal_credit_accounts","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.company_portal_credit_ledger_entries","getpro","company_portal_credit_ledger_entries","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.content_pages","getpro","content_pages","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.crm_audit_logs","getpro","crm_audit_logs","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.crm_csr_fifo_state","getpro","crm_csr_fifo_state","getpro","product-specific","integer","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.crm_task_comments","getpro","crm_task_comments","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.crm_tasks","getpro","crm_tasks","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_callback_leads","getpro","field_agent_callback_leads","getpro","product-specific","integer_identity","002_field_agent.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_run_adjustments","getpro","field_agent_pay_run_adjustments","getpro","product-specific","integer_identity","024_field_agent_pay_run_adjustments.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_run_disputes","getpro","field_agent_pay_run_disputes","getpro","product-specific","integer_identity","023_field_agent_pay_run_disputes.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_run_items","getpro","field_agent_pay_run_items","getpro","product-specific","integer_identity","020_field_agent_pay_runs.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_run_payments","getpro","field_agent_pay_run_payments","getpro","product-specific","unknown","029_field_agent_pay_run_payments.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
