implementation_id,surface,functional_area,route_method,route_path,route_file,handler,view_path,layout,device_support,screen_kind,state,auth_required,rbac_permissions,facility_scope,department_scope,reachable,reachability_evidence,partials,client_js,implementation_substance,notes
ACV7-IMPL-0011,PUBLIC,CLINIC_REGISTRATION,POST,/register-clinic,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/register-clinic-review.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,POST valid input renders review step,,public/activeclinic/ac-public.js,FUNCTIONAL,Review before submit
ACV7-IMPL-0012,PUBLIC,CLINIC_REGISTRATION,GET,/register-clinic/success,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/register-clinic-success.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,SUCCESS,false,,false,,CONDITIONALLY_REACHABLE,Redirect after successful application; ?ref=,partials/ac-success-state.ejs,,FUNCTIONAL,
ACV7-IMPL-0013,PUBLIC,CLINIC_REGISTRATION,POST,/register-clinic,src/activeclinic/http/activeClinicPublicRoutes.js,,views/activeclinic/public/register-clinic-server-error.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,ERROR,false,,false,,CONDITIONALLY_REACHABLE,Server failure path renders register-clinic-server-error,,,FUNCTIONAL,
ACV7-IMPL-0014,TENANT,JUFLONA,GET,/clinics/:clinicKey,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/home.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Tenant clinic home
ACV7-IMPL-0015,TENANT,JUFLONA,GET,/clinics/:clinicKey/about,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/about.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Tenant about
ACV7-IMPL-0016,TENANT,JUFLONA,GET,/clinics/:clinicKey/contact,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/contact.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Tenant contact form
ACV7-IMPL-0017,TENANT,JUFLONA,GET,/clinics/:clinicKey/contact/success,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/contact-success.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,SUCCESS,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Contact success
ACV7-IMPL-0018,TENANT,PRICING,GET,/clinics/:clinicKey/pricing,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/pricing.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Tenant pricing
ACV7-IMPL-0019,TENANT,JUFLONA,GET,/clinics/:clinicKey/location,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/location.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Tenant location
ACV7-IMPL-0020,TENANT,JUFLONA,GET,/clinics/:clinicKey/patient-information,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/patient-information.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Patient information
ACV7-IMPL-0021,TENANT,JUFLONA,GET,/clinics/:clinicKey/privacy,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/privacy.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Privacy
ACV7-IMPL-0022,TENANT,JUFLONA,GET,/clinics/:clinicKey/terms,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/terms.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Terms
ACV7-IMPL-0023,TENANT,SERVICES,GET,/clinics/:clinicKey/services,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/services.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Services list
ACV7-IMPL-0024,TENANT,SERVICES,GET,/clinics/:clinicKey/services/:serviceKey,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/service-detail.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Service detail
ACV7-IMPL-0025,TENANT,SERVICES,GET,/clinics/:clinicKey/procedures/:procedureKey,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/procedure-detail.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Procedure detail
ACV7-IMPL-0026,TENANT,DOCTORS,GET,/clinics/:clinicKey/doctors,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/doctors.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Doctors list
ACV7-IMPL-0027,TENANT,DOCTORS,GET,/clinics/:clinicKey/doctors/:staffKey,src/activeclinic/http/activeClinicPublicRoutes.js,resolveClinicOrRespond,views/activeclinic/tenant/doctor-profile.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Requires publishable clinicKey; tenant header/nav,partials/public-tenant-header.ejs|partials/ac-mobile-bottom-nav.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Doctor profile
ACV7-IMPL-0028,TENANT,JUFLONA,GET,/clinics/:clinicKey/*,src/activeclinic/http/activeClinicPublicRespond.js,sendClinicResolveFailure,views/activeclinic/tenant/clinic-not-found.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,NOT_FOUND,false,,false,,CONDITIONALLY_REACHABLE,Unknown clinicKey → clinic-not-found 404,,,FUNCTIONAL,Shared tenant not-found
ACV7-IMPL-0029,TENANT,JUFLONA,GET,/clinics/:clinicKey/*,src/activeclinic/http/activeClinicPublicRespond.js,sendClinicResolveFailure,views/activeclinic/tenant/clinic-unavailable.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,UNAVAILABLE,false,,false,,CONDITIONALLY_REACHABLE,Unpublished/closed clinic → clinic-unavailable 403,,,FUNCTIONAL,Closed/unavailable tenant
ACV7-IMPL-0030,BOOKING,CONSULTATION_BOOKING,GET,/clinics/:clinicKey/book,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-type.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Booking wizard route; draft may redirect earlier,partials/booking-wizard-progress.ejs|partials/booking-summary.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Consultation type entry
ACV7-IMPL-0031,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-type.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-renders step with errors,partials/booking-wizard-progress.ejs,,FUNCTIONAL,Validation on /book
ACV7-IMPL-0032,BOOKING,CONSULTATION_BOOKING,GET,/clinics/:clinicKey/book/doctor,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-doctor.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Booking wizard route; draft may redirect earlier,partials/booking-wizard-progress.ejs|partials/booking-summary.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Choose doctor
ACV7-IMPL-0033,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book/doctor,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-doctor.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-renders step with errors,partials/booking-wizard-progress.ejs,,FUNCTIONAL,Validation on /book/doctor
ACV7-IMPL-0034,BOOKING,CONSULTATION_BOOKING,GET,/clinics/:clinicKey/book/slot,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-slot.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Booking wizard route; draft may redirect earlier,partials/booking-wizard-progress.ejs|partials/booking-summary.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Choose slot
ACV7-IMPL-0035,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book/slot,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-slot.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-renders step with errors,partials/booking-wizard-progress.ejs,,FUNCTIONAL,Validation on /book/slot
ACV7-IMPL-0036,BOOKING,CONSULTATION_BOOKING,GET,/clinics/:clinicKey/book/patient,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-patient.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Booking wizard route; draft may redirect earlier,partials/booking-wizard-progress.ejs|partials/booking-summary.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Patient details
ACV7-IMPL-0037,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book/patient,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-patient.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-renders step with errors,partials/booking-wizard-progress.ejs,,FUNCTIONAL,Validation on /book/patient
ACV7-IMPL-0038,BOOKING,CONSULTATION_BOOKING,GET,/clinics/:clinicKey/book/review,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-review.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Booking wizard route; draft may redirect earlier,partials/booking-wizard-progress.ejs|partials/booking-summary.ejs,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,Review
ACV7-IMPL-0039,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book/submit,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/consultation-review.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-renders step with errors,partials/booking-wizard-progress.ejs,,FUNCTIONAL,Validation on /book/review
ACV7-IMPL-0040,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/appointment-entry.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Alternate appointment-entry path in booking POST,,,FUNCTIONAL,Appointment entry variant
ACV7-IMPL-0041,BOOKING,CONSULTATION_BOOKING,POST,/clinics/:clinicKey/book/submit,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/request-submitted.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,SUCCESS,false,,false,,CONDITIONALLY_REACHABLE,Successful consultation submit,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,
ACV7-IMPL-0042,BOOKING,PROCEDURE_BOOKING,GET,/clinics/:clinicKey/book/procedures,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/procedures-list.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,GET procedures list,,public/activeclinic/ac-public.js,FULLY_DATA_DRIVEN,
ACV7-IMPL-0043,BOOKING,PROCEDURE_BOOKING,GET,/clinics/:clinicKey/book/procedures/:procedureKey,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/procedure-entry.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,GET procedure entry when available,partials/phone-field.ejs|partials/sms-honesty-note.ejs,public/activeclinic/ac-phone-field.js,FULLY_DATA_DRIVEN,
ACV7-IMPL-0044,BOOKING,PROCEDURE_BOOKING,GET,/clinics/:clinicKey/book/procedures/:procedureKey,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/procedure-unavailable.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,UNAVAILABLE,false,,false,,CONDITIONALLY_REACHABLE,404 procedure-unavailable when not bookable,,,FUNCTIONAL,
ACV7-IMPL-0045,BOOKING,PROCEDURE_BOOKING,POST,/clinics/:clinicKey/book/procedures/:procedureKey,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/procedure-entry.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,STATE_VARIANT,VALIDATION_ERROR,false,,false,,CONDITIONALLY_REACHABLE,POST 400 re-render,partials/phone-field.ejs,,FUNCTIONAL,
ACV7-IMPL-0046,BOOKING,PROCEDURE_BOOKING,POST,/clinics/:clinicKey/book/procedures/:procedureKey,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/request-submitted.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,SUCCESS,false,,false,,CONDITIONALLY_REACHABLE,Successful procedure submit,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,
ACV7-IMPL-0047,MY_BOOKING,MY_BOOKING,GET,/clinics/:clinicKey/my-booking,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/my-booking-lookup.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET without token shows lookup,,public/activeclinic/ac-public.js,FUNCTIONAL,Lookup form
ACV7-IMPL-0048,MY_BOOKING,MY_BOOKING,GET,/clinics/:clinicKey/my-booking,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/my-booking-lookup.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,ERROR_STATE,NOT_FOUND,false,,false,,CONDITIONALLY_REACHABLE,Invalid/expired token re-shows lookup with error,,,FUNCTIONAL,No-match / expired token
ACV7-IMPL-0049,MY_BOOKING,MY_BOOKING,GET,/clinics/:clinicKey/my-booking,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/my-booking-detail.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,POPULATED,false,,false,,CONDITIONALLY_REACHABLE,Valid ?token= shows detail; status from booking row,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,Detail reflects pending/confirmed/cancelled/rescheduled via booking status
ACV7-IMPL-0050,MY_BOOKING,MY_BOOKING,GET,/clinics/:clinicKey/my-booking/cancel,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/cancellation-review.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,CONFIRMATION_STATE,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Token-gated my-booking change flow,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,Cancel review
ACV7-IMPL-0051,MY_BOOKING,MY_BOOKING,POST,/clinics/:clinicKey/my-booking/cancel,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/cancellation-submitted.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,CANCELLED,false,,false,,CONDITIONALLY_REACHABLE,Token-gated my-booking change flow,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,Cancel submitted (POST success)
ACV7-IMPL-0052,MY_BOOKING,MY_BOOKING,GET,/clinics/:clinicKey/my-booking/reschedule,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/reschedule-review.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,CONFIRMATION_STATE,DEFAULT,false,,false,,CONDITIONALLY_REACHABLE,Token-gated my-booking change flow,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,Reschedule review
ACV7-IMPL-0053,MY_BOOKING,MY_BOOKING,POST,/clinics/:clinicKey/my-booking/reschedule,src/activeclinic/http/activeClinicPublicBookingRoutes.js,,views/activeclinic/booking/reschedule-submitted.ejs,layouts/public-shell.ejs,DESKTOP|MOBILE,SUCCESS_STATE,RESCHEDULED,false,,false,,CONDITIONALLY_REACHABLE,Token-gated my-booking change flow,partials/sms-honesty-note.ejs,,FULLY_DATA_DRIVEN,Reschedule submitted
ACV7-IMPL-0054,PATIENT_PORTAL,PATIENT_AUTH,GET,/clinics/:clinicKey/patient/login,src/activeclinic/http/activeClinicPatientPortalRoutes.js,,views/activeclinic/patient/login.ejs,layouts/patient-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /patient/login,partials/patient-header.ejs|partials/phone-field.ejs,public/activeclinic/ac-patient.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,
ACV7-IMPL-0055,PATIENT_PORTAL,PATIENT_AUTH,GET,/clinics/:clinicKey/patient/register,src/activeclinic/http/activeClinicPatientPortalRoutes.js,,views/activeclinic/patient/register.ejs,layouts/patient-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /patient/register,partials/patient-header.ejs|partials/phone-field.ejs,public/activeclinic/ac-patient.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,
ACV7-IMPL-0056,PATIENT_PORTAL,PATIENT_AUTH,GET,/clinics/:clinicKey/patient/forgot-password,src/activeclinic/http/activeClinicPatientPortalRoutes.js,,views/activeclinic/patient/forgot-password.ejs,layouts/patient-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /patient/forgot-password,partials/patient-header.ejs|partials/phone-field.ejs,public/activeclinic/ac-patient.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,
ACV7-IMPL-0057,PATIENT_PORTAL,PATIENT_AUTH,GET,/clinics/:clinicKey/patient/reset-password,src/activeclinic/http/activeClinicPatientPortalRoutes.js,,views/activeclinic/patient/reset-password.ejs,layouts/patient-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /patient/reset-password,partials/patient-header.ejs|partials/phone-field.ejs,public/activeclinic/ac-patient.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,
ACV7-IMPL-0058,PATIENT_PORTAL,PATIENT_AUTH,GET,/clinics/:clinicKey/patient/recovery-verification,src/activeclinic/http/activeClinicPatientPortalRoutes.js,,views/activeclinic/patient/recovery-verification.ejs,layouts/patient-shell.ejs,DESKTOP|MOBILE,PRIMARY_SCREEN,DEFAULT,false,,false,,REACHABLE,GET /patient/recovery-verification,partials/patient-header.ejs|partials/phone-field.ejs,public/activeclinic/ac-patient.js|public/activeclinic/ac-phone-field.js,FUNCTIONAL,
